longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-117.09,32.7,15,869,217,887,216,1.4583,84200,NEAR OCEAN
-115.57,32.78,29,2321,367,1173,360,4.0375,86400,INLAND
-122.25,37.81,39,854,242,389,228,3.125,237500,NEAR BAY
-122.42,37.77,52,1176,493,1136,436,1.375,312500,NEAR BAY
-121.94,37.93,16,3421,427,1341,428,7.5695,320400,INLAND
-118.23,33.91,34,661,146,742,143,2.1734,88200,<1H OCEAN
-122.5,37.92,32,2639,415,1013,408,6.1632,349200,NEAR BAY
-116.33,34.15,13,1808,411,735,320,1.5489,57400,INLAND
-117.05,33.03,16,87,20,32,21,4.3571,144600,<1H OCEAN
-121.44,38.64,25,1678,367,971,307,1.0398,62100,INLAND
-120.25,37.23,34,1656,328,1110,332,2.1845,59900,INLAND
-118.25,33.89,35,1582,391,1957,404,2.4537,91500,<1H OCEAN
-122.26,38,6,678,104,318,91,5.2375,246400,NEAR BAY
-117.13,32.8,35,2129,382,1044,350,3.9732,174900,NEAR OCEAN
-117.92,33.87,44,308,87,301,100,2.1991,191100,<1H OCEAN
-119.67,34.47,35,2700,422,1995,383,4.9757,500001,<1H OCEAN
-122.24,37.82,52,3665,517,1470,520,6.155,398600,NEAR BAY
-122.48,38.54,37,1898,359,973,340,4.2096,256600,INLAND
-118.22,33.98,32,2643,737,2784,711,2.5352,184400,<1H OCEAN
-116.52,33.85,13,7559,1444,3189,1105,3.4886,112500,INLAND
-117.12,32.76,43,2336,644,1203,614,2.3594,127800,NEAR OCEAN
-119.63,36.79,19,1317,189,517,187,4.526,148700,INLAND
-121.85,37.33,16,2987,874,4241,841,2.8024,127900,<1H OCEAN
-122.03,37.54,35,1867,343,1213,338,4.8214,186000,NEAR BAY
-116.29,33.72,5,3584,760,1097,470,3.1771,167400,INLAND
-116.22,34.21,23,1175,468,355,151,2.2083,42500,INLAND
-118.24,33.88,37,1843,366,1207,351,2.4821,111000,<1H OCEAN
-121.8,37.27,10,3301,593,2190,575,6.223,260700,<1H OCEAN
-119.71,36.8,25,875,156,646,166,3,72800,INLAND
-123.81,39.34,17,1981,371,773,325,3.1563,277000,<1H OCEAN
-118.17,33.79,36,948,303,1042,301,1.55,100000,NEAR OCEAN
-117.25,32.82,19,5255,762,1773,725,7.8013,474000,NEAR OCEAN
-120.63,37.36,16,1605,282,866,284,4.0694,110200,INLAND
-117.82,33.84,25,1788,203,676,217,10.1299,454300,<1H OCEAN
-117.87,35.73,13,2566,449,1181,414,4.1518,91800,INLAND
-117.14,32.8,33,2670,435,1256,431,3.9417,179800,NEAR OCEAN
-120.26,38.13,17,301,94,122,47,4.0583,87500,INLAND
-120.55,38.12,10,1566,325,785,291,2.5,116100,INLAND
-118.3,33.93,40,2434,477,1646,453,3.2024,128000,<1H OCEAN
-121.83,39.73,52,1741,401,753,377,2.0064,77900,INLAND
-120.92,37.6,12,4485,805,2445,832,3.7611,123100,INLAND
-120.5,37.37,18,8606,1678,5303,1644,2.4012,79700,INLAND
-117.73,34.09,30,2345,496,1897,454,2.4375,112100,INLAND
-121.92,36.62,52,2584,599,790,444,2.5263,286400,NEAR OCEAN
-119.25,34.26,30,2948,827,1635,750,2.67,214900,NEAR OCEAN
-118.02,33.73,26,3711,610,1902,597,5.5599,234100,<1H OCEAN
-121.27,37.97,39,1023,243,550,224,1.1141,54400,INLAND
-117.83,33.79,25,2070,513,1078,460,2.9312,220100,<1H OCEAN
-118.07,33.93,5,906,187,1453,158,4.125,171900,<1H OCEAN
-118.27,34.25,37,2489,454,1215,431,5.0234,257600,<1H OCEAN
-121.77,37.99,4,5623,780,2429,716,5.4409,205100,INLAND
-122.34,37.95,38,1340,298,766,241,3.2833,111700,NEAR BAY
-117.12,33.49,4,21988,4055,8824,3252,3.9963,191100,<1H OCEAN
-117.16,32.71,52,845,451,1230,375,1.0918,22500,NEAR OCEAN
-118.12,34.06,25,1526,388,1304,378,3.1892,214700,<1H OCEAN
-121.97,37.23,22,2781,523,1291,516,4.6065,445900,<1H OCEAN
-118.58,34.25,23,4883,769,2119,725,5.521,280800,<1H OCEAN
-122.21,37.84,34,3038,490,1140,496,7.0548,325900,NEAR BAY
-117.23,32.85,25,4229,601,1634,574,6.3955,316700,NEAR OCEAN
-117.17,32.73,52,408,143,313,143,1.815,116700,NEAR OCEAN
-121.81,37.31,14,2731,578,1109,551,3.1382,139700,<1H OCEAN
-117.06,32.56,5,2706,925,3148,855,1.7301,125000,NEAR OCEAN
-117.6,34.02,16,2103,348,1305,356,5.2849,160400,INLAND
-117.12,32.76,27,1426,364,792,353,2.0673,118800,NEAR OCEAN
-122.32,37.93,33,296,73,216,63,2.675,22500,NEAR BAY
-116.18,33.67,25,2888,654,2940,660,2.2141,66700,INLAND
-120.42,34.89,24,2020,307,855,283,5.0099,162500,<1H OCEAN
-118.31,33.99,47,1525,359,982,333,2.0915,126600,<1H OCEAN
-118.21,33.9,35,2420,579,2010,540,2.0817,104600,<1H OCEAN
-118.34,33.99,48,2009,335,919,297,4.8125,170500,<1H OCEAN
-121.75,36.91,52,1211,447,1102,392,1.6875,161400,<1H OCEAN
-118.34,34.06,52,1482,336,768,300,3.7167,327300,<1H OCEAN
-118.22,34.52,7,4524,735,2298,717,6.5538,311600,INLAND
-117.88,34,21,5459,1086,3394,1087,3.6308,192100,<1H OCEAN
-119.84,36.83,17,2273,298,700,263,6.8645,195900,INLAND
-119.05,35.32,11,7035,1455,3525,1387,3.4827,93600,INLAND
-122.46,37.78,52,2632,542,1364,544,3.4605,441700,NEAR BAY
-118.27,34.16,15,5036,1299,3164,1175,2.9148,238700,<1H OCEAN
-117.66,33.64,17,3173,501,1555,520,6.7079,250800,<1H OCEAN
-116.99,32.81,25,4436,758,1997,738,4.2386,201000,<1H OCEAN
-122.05,37.38,24,2424,501,1367,507,4.072,364200,<1H OCEAN
-120.43,37.35,15,1613,203,673,213,5.9378,212200,INLAND
-117.83,34.11,29,2671,437,1484,445,4.9844,203000,INLAND
-117.98,34.07,28,441,106,504,108,2.9107,152500,INLAND
-118.59,34.21,34,1943,320,895,305,5.0462,227700,<1H OCEAN
-121.72,37.16,21,1062,179,631,185,4.7386,394100,<1H OCEAN
-121.96,37.3,20,4228,1006,2334,1007,4.3081,227300,<1H OCEAN
-121.03,37.66,31,887,217,614,199,2.1528,75500,INLAND
-117.18,32.77,23,1215,225,592,224,3.4,200600,NEAR OCEAN
-118.39,34.08,52,1244,304,444,282,3.5114,430800,<1H OCEAN
-119.68,36.32,28,1325,276,873,240,2.5833,54400,INLAND
-118.23,33.92,24,1555,406,1665,361,1.6437,98800,<1H OCEAN
-118.24,33.9,35,1079,247,1055,243,2.375,93600,<1H OCEAN
-117.03,32.61,23,1553,216,778,229,5.1538,171300,NEAR OCEAN
-122.28,37.87,46,1777,446,805,431,2.8676,212000,NEAR BAY
-119.81,36.78,36,1650,313,660,298,3,79700,INLAND
-122.33,37.53,18,4493,760,1784,725,6.7042,413000,NEAR OCEAN
-117.68,34,5,3761,580,2335,648,5.7338,225400,INLAND
-118.17,33.97,31,3388,1059,3558,957,2.4049,159000,<1H OCEAN
-118.11,33.81,36,1252,209,558,214,3.9722,235600,<1H OCEAN
-117.99,33.79,29,2470,560,1589,513,3.1801,190500,<1H OCEAN
-118.21,34.56,12,2472,408,1048,380,4.7097,262100,INLAND
-122.27,37.78,13,2020,535,959,486,5.2601,292700,NEAR BAY
-118.14,33.91,34,1766,410,974,404,3.0703,180800,<1H OCEAN
-120.46,37.33,4,786,116,368,109,6.3215,138200,INLAND
-122.3,37.9,41,2053,435,873,415,3.4091,223000,NEAR BAY
-118.45,34.03,41,1240,320,711,304,3.3482,318100,<1H OCEAN
-118.36,33.91,41,2048,439,1191,429,3.8,222500,<1H OCEAN
-118.37,33.83,35,1207,207,601,213,4.7308,353400,<1H OCEAN
-121.24,38.64,13,4491,689,1657,667,5.259,249400,INLAND
-117.25,33.21,9,1944,488,1992,453,2.066,127200,<1H OCEAN
-120.01,38.93,22,3080,610,1045,425,2.996,126100,INLAND
-121.25,38.14,16,1174,242,464,261,2.3,133300,INLAND
-118.1,34.12,49,3783,579,1601,539,6.3013,500001,<1H OCEAN
-122.27,37.98,23,3455,479,1375,474,6.0289,218600,NEAR BAY
-118.2,33.93,36,1191,345,1193,295,2.5185,138800,<1H OCEAN
-121.9,36.6,33,2461,649,1234,601,2.8727,225000,NEAR OCEAN
-118.29,34.08,43,3056,1345,3920,1304,1.925,300000,<1H OCEAN
-121.41,38.69,28,1601,308,848,305,3.6429,105200,INLAND
-117.08,32.76,27,1221,254,606,259,3.0833,155400,NEAR OCEAN
-119.54,36.52,16,2703,415,1106,372,4.2045,120900,INLAND
-120.87,37.77,9,4838,920,2460,923,3.5959,142700,INLAND
-117.21,32.86,24,3596,494,1573,492,6.5382,326000,NEAR OCEAN
-117.24,33.23,21,1718,308,1194,312,3.4359,150900,<1H OCEAN
-122.26,37.88,52,2363,604,1558,573,2.944,338900,NEAR BAY
-121.8,37.27,17,3912,737,2693,746,5.0772,221500,<1H OCEAN
-121.47,41.12,22,2737,512,1168,442,2.83,88700,INLAND
-117.14,34.07,3,5542,828,2506,806,5.5875,162000,INLAND
-118.44,34.17,25,4966,1134,1941,958,3.8081,286700,<1H OCEAN
-122.23,37.8,51,1590,414,949,392,1.9028,127900,NEAR BAY
-122.08,37.04,34,2800,577,1353,512,4.1161,220900,NEAR OCEAN
-118.94,36.32,10,2271,398,986,358,4.0703,147100,INLAND
-121.86,37.31,24,1939,652,1808,625,2.2259,112500,<1H OCEAN
-117.05,32.61,31,4033,715,2585,715,3.5096,139900,NEAR OCEAN
-120.35,37.99,3,1167,306,422,186,2.4191,217500,INLAND
-122.26,37.82,37,3633,1085,1838,980,2.6104,193100,NEAR BAY
-118.29,34,41,1807,493,1731,471,1.2347,111700,<1H OCEAN
-122.26,37.56,23,7283,1342,3399,1298,5.6683,391000,NEAR BAY
-117.88,33.66,26,6017,1244,2673,1135,3.5426,295400,<1H OCEAN
-118.27,34.16,45,1865,360,973,349,3.6587,321200,<1H OCEAN
-116,32.74,26,1134,280,329,158,1.4338,43900,INLAND
-122.02,37.6,32,1295,280,1156,300,3.5,154300,NEAR BAY
-122.31,37.94,38,1794,349,810,335,3.8343,191400,NEAR BAY
-122.2,37.77,49,2272,498,1621,483,2.4338,102400,NEAR BAY
-121.51,38.54,34,2815,479,1075,471,3.9792,164800,INLAND
-118.15,34.18,45,2612,664,3117,584,2.3029,148800,<1H OCEAN
-121.85,38,26,3364,570,1806,566,4.2647,133400,INLAND
-118.06,34,34,5002,917,2597,893,3.9243,219800,<1H OCEAN
-118.9,34.14,35,1503,263,576,216,5.1457,500001,<1H OCEAN
-117.9,33.65,30,1634,373,771,364,3.4125,284100,<1H OCEAN
-120.98,38.99,17,3403,661,1540,622,3.6354,162900,INLAND
-119.78,34.44,28,2864,495,1364,482,4.835,353400,NEAR OCEAN
-118.3,34.05,51,1005,314,1227,306,2.4297,162500,<1H OCEAN
-118.58,34.21,24,2642,696,1649,633,3.0187,217700,<1H OCEAN
-119.9,37.49,13,2230,443,920,361,3,112000,INLAND
-122.05,37.55,23,4247,835,2357,823,5.1321,211300,NEAR BAY
-118.38,34.05,40,2352,598,1133,563,3.238,287500,<1H OCEAN
-121.54,38.54,36,1672,302,969,337,3.0536,73100,INLAND
-121.96,37.27,22,6114,1211,2983,1163,5.2533,269100,<1H OCEAN
-119.05,36.06,23,2344,407,1184,406,3.1625,70600,INLAND
-118.87,34.18,21,5661,1369,3188,1308,3.4676,212800,<1H OCEAN
-119.82,36.72,25,2581,528,1642,509,1.6435,52600,INLAND
-116.98,33.93,33,376,83,267,88,2.1581,68300,INLAND
-122.66,38.47,23,2246,437,1035,386,3.7617,172600,<1H OCEAN
-118.96,35.37,40,1603,374,1026,337,1.365,54300,INLAND
-122.29,37.54,41,1743,349,811,349,4.9464,282400,NEAR OCEAN
-120.69,38.44,13,1473,265,597,228,4.2917,121300,INLAND
-115.57,32.83,31,1494,289,959,284,3.5282,67500,INLAND
-118.68,34.28,17,6488,1102,3199,1070,5.0962,238000,<1H OCEAN
-116.38,33.71,17,12509,2460,2737,1423,4.5556,258100,INLAND
-117.49,34.05,20,1483,249,660,194,3.9464,207700,INLAND
-121.79,36.85,28,1049,235,705,208,2.7321,150000,NEAR OCEAN
-117.34,33.19,19,3575,525,1654,559,5.7409,274100,NEAR OCEAN
-118.13,34.14,23,5465,1494,2511,1359,3.4531,210900,<1H OCEAN
-119.32,36.32,35,2316,387,849,378,4.3816,88600,INLAND
-122.23,40.4,18,2102,377,1059,384,3.0556,95500,INLAND
-117.76,33.87,16,3182,429,1663,428,7.0592,288200,<1H OCEAN
-121.69,36.52,15,4037,586,1596,557,8.0922,390100,<1H OCEAN
-116.95,32.78,33,2432,443,1147,427,3.3906,138100,<1H OCEAN
-117.95,33.75,24,2027,358,1405,341,5.1416,231400,<1H OCEAN
-117.23,33.96,5,9179,1361,4573,1294,5.253,163300,INLAND
-117.84,33.9,24,1723,223,707,219,7.0352,299600,<1H OCEAN
-120.45,39.8,47,2149,456,965,419,1.7829,55900,INLAND
-121.43,38.56,50,1533,288,532,257,2.5417,125900,INLAND
-122.03,37.86,29,3025,477,1035,452,6.112,390600,NEAR BAY
-116.78,33,7,12480,1946,5102,1697,5.5102,221000,<1H OCEAN
-115.37,32.82,30,1602,322,1130,335,3.5735,71100,INLAND
-119.76,36.79,32,2463,468,1261,486,3.3281,75100,INLAND
-118.46,34,39,614,174,538,159,2.3542,235700,<1H OCEAN
-117.83,33.93,14,1956,282,671,269,6.5841,306400,<1H OCEAN
-117.65,33.59,8,2649,340,1238,354,8.0409,337900,<1H OCEAN
-117.17,32.77,35,1399,274,695,281,3.767,166800,NEAR OCEAN
-122.48,37.76,52,3260,653,1594,632,4.4094,336100,NEAR BAY
-118.04,34.05,32,1252,273,1337,263,2.6579,156800,<1H OCEAN
-118.17,33.94,17,1145,209,499,202,4.6389,165500,<1H OCEAN
-122.52,37.96,35,2012,346,818,352,5.2818,331000,NEAR BAY
-121.26,37.98,41,1633,433,885,413,0.9782,54200,INLAND
-118.07,34.56,5,10264,1821,5871,1790,4.2329,145500,INLAND
-118.5,34.04,52,3000,374,1143,375,15.0001,500001,<1H OCEAN
-121.49,38.49,26,4629,832,2902,816,2.735,74600,INLAND
-118.03,33.84,28,3857,857,2328,830,4.0156,196000,<1H OCEAN
-118.14,34.69,35,2118,374,1108,360,3.4327,100300,INLAND
-118.74,34.05,19,3487,686,2782,584,7.9184,500001,NEAR OCEAN
-121.86,38,4,4075,927,2239,849,3.5857,165200,INLAND
-117.95,33.82,35,1068,190,514,174,4.0735,208700,<1H OCEAN
-121.96,37.34,42,2001,402,942,375,4.4453,255400,<1H OCEAN
-116.22,33.73,38,1695,352,1279,305,2.1217,68500,INLAND
-121.65,36.67,28,1926,556,1717,535,1.9385,123200,<1H OCEAN
-120.85,38.69,18,5928,1097,2697,1096,3.4872,141400,INLAND
-122.48,37.69,42,2993,512,1594,546,4.4821,252400,NEAR OCEAN
-119.59,36.57,19,1733,303,911,281,3.5987,131700,INLAND
-122,36.98,20,2502,454,981,399,4.3,275000,NEAR OCEAN
-122.49,37.78,49,2176,441,1040,448,4.2414,500001,NEAR BAY
-117.06,33.78,17,2813,565,1345,488,2.5847,145300,INLAND
-121.43,37.76,7,2125,508,1358,464,3.6312,147600,INLAND
-122.46,37.75,52,1849,287,695,258,6.5372,394000,NEAR BAY
-118.17,33.77,39,2953,878,1379,785,2.1378,180400,NEAR OCEAN
-121.82,37.31,22,2044,402,1925,429,3.7102,177500,<1H OCEAN
-122.02,37.31,35,2355,384,1248,378,5.9714,332500,<1H OCEAN
-118.56,34.2,36,1544,308,891,286,4.175,190900,<1H OCEAN
-117.03,32.75,24,7879,1655,3898,1534,3.0897,187300,NEAR OCEAN
-117.87,33.86,19,2232,448,1149,417,3.1534,324400,<1H OCEAN
-117.7,33.68,29,5650,1084,3985,1056,2.8192,162500,<1H OCEAN
-118.27,33.94,39,2078,561,1901,504,1.1468,96900,<1H OCEAN
-117.62,34.07,16,6009,1599,5110,1389,2.5677,128900,INLAND
-122.43,37.7,19,1733,354,959,348,4.7708,281700,NEAR BAY
-119.04,35.42,47,1691,402,913,358,1.8403,54700,INLAND
-122.69,38.35,12,1550,187,685,188,7.226,255300,<1H OCEAN
-122.28,37.79,30,4145,869,3668,855,2.5444,275000,NEAR BAY
-122.08,37.39,46,1115,248,543,248,3.2083,334300,NEAR BAY
-121.57,39.74,17,1619,292,705,285,2.4623,126100,INLAND
-122.75,38.54,6,6719,1016,2699,997,5.4886,254200,<1H OCEAN
-118.42,34.13,38,3830,518,1292,516,12.7823,500001,<1H OCEAN
-122.02,37.39,35,2297,497,1428,497,4.7431,239700,<1H OCEAN
-117.97,33.76,28,1386,272,901,294,4.7464,187500,<1H OCEAN
-117.21,33.02,26,3194,454,1032,406,10.156,500001,NEAR OCEAN
-122.33,37.57,20,2126,643,1112,597,3.625,283300,NEAR OCEAN
-117.29,34.14,45,1598,314,771,319,2.5417,82900,INLAND
-122.15,37.73,52,1028,129,317,143,4.9135,275000,NEAR BAY
-122.66,38.42,14,5315,1037,2228,950,4.023,208400,<1H OCEAN
-121.84,37.99,13,4545,952,2188,901,3.3625,126100,INLAND
-122.46,37.78,52,3429,773,1584,696,3.7887,500001,NEAR BAY
-117.09,33.12,11,567,184,620,163,2.5284,122500,<1H OCEAN
-119.8,36.02,20,156,39,171,37,3.05,225000,INLAND
-118.6,34.26,18,6154,1070,3010,1034,5.6392,271500,<1H OCEAN
-117.77,34.1,50,2388,494,1241,459,2.8818,167200,INLAND
-117.01,32.8,20,2705,545,1198,497,3.7159,168900,<1H OCEAN
-118.21,33.88,38,929,166,686,183,3.4485,119400,<1H OCEAN
-121.29,38.14,27,836,132,303,133,3.875,127400,INLAND
-117.13,32.74,52,1512,321,651,321,3.6852,185300,NEAR OCEAN
-117.01,32.72,12,2914,734,2104,703,2.3068,132300,NEAR OCEAN
-116.93,33.06,16,3490,545,1628,535,4.8836,239900,<1H OCEAN
-119.85,36.81,15,1743,310,1011,325,3.755,68000,INLAND
-117.96,33.6,34,959,230,384,197,5.2333,471400,NEAR OCEAN
-118.18,34.03,40,2631,698,2920,677,2.0764,145600,<1H OCEAN
-121.58,39.79,19,2636,523,1184,465,2.7863,108600,INLAND
-124.25,40.28,32,1430,419,434,187,1.9417,76100,NEAR OCEAN
-118.51,34.28,29,4239,653,1890,631,6.3911,301700,<1H OCEAN
-117.11,32.58,12,1086,294,870,290,2.4213,132500,NEAR OCEAN
-119.27,35.89,18,1855,424,1839,392,1.7572,53300,INLAND
-117.64,34.08,37,2576,468,1284,428,3.3958,130400,INLAND
-117.05,32.73,27,3184,588,1763,571,3.5529,133900,NEAR OCEAN
-122.28,37.54,24,5114,1357,3169,1268,3.9699,293200,NEAR OCEAN
-117.93,33.76,17,3341,803,3381,825,3.371,161800,<1H OCEAN
-121.32,39.13,5,358,65,169,59,3,162500,INLAND
-118.51,34.27,36,2276,429,1001,419,4.1042,252100,<1H OCEAN
-121.79,37.34,20,2018,328,1196,323,4.9318,262400,<1H OCEAN
-122.3,37.9,37,2125,489,912,462,2.9219,217200,NEAR BAY
-118.32,34.2,36,1978,337,834,311,3.9866,294400,<1H OCEAN
-117.24,33.21,19,1872,489,1859,446,2.1875,121700,<1H OCEAN
-118.34,33.89,36,2274,411,1232,423,5.373,244500,<1H OCEAN
-120.88,38.32,18,2791,492,1187,438,3.2589,103000,INLAND
-117.92,33.81,34,988,173,759,184,5.6047,205100,<1H OCEAN
-121.96,37.1,20,922,155,361,135,6.3617,331500,<1H OCEAN
-121.85,37.66,14,4236,701,1833,663,5.6399,300600,INLAND
-118.02,34.05,33,2464,627,2932,568,3.0625,165800,<1H OCEAN
-115.22,33.54,18,1706,397,3424,283,1.625,53500,INLAND
-121.26,37.95,44,819,184,677,183,1.725,59300,INLAND
-124.08,40.91,13,2522,719,1381,628,1.6667,78800,NEAR OCEAN
-118.5,34.03,44,2146,394,851,355,6.48,500001,<1H OCEAN
-118.2,34.05,36,2672,675,2883,674,2.0885,142800,<1H OCEAN
-122.19,39.91,39,2467,529,1433,502,1.8571,53500,INLAND
-122.16,37.75,35,667,140,406,133,3.8047,94300,NEAR BAY
-122.15,37.76,39,1823,286,763,270,6.0749,196900,NEAR BAY
-117.4,34.09,5,6190,993,3615,963,4.4034,133200,INLAND
-121.44,38.61,41,1404,313,765,330,1.8792,63300,INLAND
-122.02,37.38,43,1261,317,836,333,4.0911,224600,<1H OCEAN
-118.05,34.16,41,3320,713,1236,659,3.5694,278600,INLAND
-117.12,32.76,26,1221,331,620,296,2.4821,123600,NEAR OCEAN
-118.15,34.1,36,3514,818,2277,828,3.1211,229300,<1H OCEAN
-118.11,33.94,37,1434,262,786,256,4.4375,244900,<1H OCEAN
-117.84,33.74,24,1752,407,910,427,3.3611,134600,<1H OCEAN
-119.79,36.85,11,2596,619,1765,539,1.9511,54000,INLAND
-122.74,38.47,16,1426,287,525,260,3.0714,161700,<1H OCEAN
-118.12,33.88,36,1083,218,557,210,3.0795,218400,<1H OCEAN
-119.27,36.18,23,3180,547,1829,498,2.6098,66000,INLAND
-121.52,38.9,32,1650,313,802,284,2.9048,98200,INLAND
-117.93,34.05,32,3055,623,1902,565,4.2926,190700,<1H OCEAN
-118.37,34.1,37,407,67,100,47,15.0001,500001,<1H OCEAN
-117.13,32.91,15,1450,266,747,290,3.6111,196300,<1H OCEAN
-122.01,38.36,15,476,67,213,73,7.1053,315200,INLAND
-117.18,32.76,8,3694,997,1297,807,3.6492,158900,NEAR OCEAN
-117.94,34.04,33,1493,331,1571,354,3.8864,158900,<1H OCEAN
-117.28,34.24,16,3474,633,853,315,5.2185,128600,INLAND
-118.26,33.93,35,1562,403,1587,406,1.4917,93200,<1H OCEAN
-117.27,34.14,35,1517,257,658,245,4.4435,97600,INLAND
-115.57,32.8,16,2276,594,1184,513,1.875,93800,INLAND
-120.66,35.13,41,2666,751,940,507,1.9653,236100,<1H OCEAN
-121.96,39.3,39,701,130,271,89,2.1845,112500,INLAND
-124.05,40.59,32,1878,340,937,353,3.4408,95200,<1H OCEAN
-118.34,34.09,52,1731,502,849,466,3.2946,321600,<1H OCEAN
-121.14,37.48,6,1772,332,1011,331,3.7045,128100,INLAND
-117.99,34.05,35,1792,317,1441,306,3.7917,151100,<1H OCEAN
-124.03,40.45,34,1006,213,443,158,2.6094,71300,<1H OCEAN
-121.34,38.55,11,2838,498,1701,504,4.1447,114000,INLAND
-118.06,33.98,40,1410,255,932,273,4.2206,178000,<1H OCEAN
-118.33,33.98,38,3063,796,2153,721,1.8472,149100,<1H OCEAN
-121.86,37.41,16,1489,262,945,263,7.3861,267000,<1H OCEAN
-118.4,33.96,44,1138,228,497,228,4.1852,303300,<1H OCEAN
-121.88,37.99,16,3787,515,1606,507,5.5676,174200,INLAND
-122.25,37.83,52,2376,559,939,519,3.1484,224100,NEAR BAY
-120.4,37.98,19,2010,433,910,390,2.6696,121200,INLAND
-117.81,33.67,9,2435,396,1194,385,7.2025,275000,<1H OCEAN
-123.21,39.07,17,1890,342,877,312,3.7833,159800,<1H OCEAN
-117.92,34.13,42,1762,398,1526,365,2.8643,132600,INLAND
-118.22,33.97,47,1058,295,1097,274,2.881,183300,<1H OCEAN
-117.25,32.79,43,906,240,458,205,1.8365,328600,NEAR OCEAN
-118.32,34.1,52,786,270,756,273,2.2311,206300,<1H OCEAN
-116.94,33.73,17,5160,851,2344,781,3.7175,120000,INLAND
-122.08,37.38,25,830,228,368,174,3.3917,342900,NEAR BAY
-118.01,33.8,16,4021,701,1488,650,5.32,219500,<1H OCEAN
-121.97,37.31,25,5775,1225,3580,1138,3.9187,314900,<1H OCEAN
-122.53,37.88,25,4921,866,1913,834,6.8742,413100,NEAR BAY
-118.31,34.19,13,3801,1116,1986,1078,2.0875,222700,<1H OCEAN
-118.53,34.44,19,1285,195,650,193,6.0398,217800,<1H OCEAN
-122.16,37.74,43,1534,300,826,295,4.0417,109400,NEAR BAY
-118.37,33.97,32,6699,1781,2725,1544,3.3889,285700,<1H OCEAN
-117.14,32.96,12,5949,799,2936,781,6.3721,241500,<1H OCEAN
-122.36,37.57,35,1774,205,588,207,10.7339,500001,NEAR OCEAN
-117.99,33.66,14,3155,653,951,575,3.0625,268800,<1H OCEAN
-120.52,35.24,5,4413,804,2003,725,5.0267,253300,<1H OCEAN
-122.2,37.83,26,1589,223,542,211,8.401,351200,NEAR BAY
-118.97,37.64,14,2284,622,342,137,3.0921,87500,INLAND
-118.22,33.98,34,2283,809,3032,832,2.4387,175000,<1H OCEAN
-119.8,34.44,27,2674,419,1176,416,5.0294,280200,NEAR OCEAN
-119.71,34.45,35,2183,363,988,351,5.5922,384400,<1H OCEAN
-116.81,33.9,17,2009,469,820,381,1.3286,81800,INLAND
-121.87,37.43,22,3805,596,2118,621,6.2892,254200,<1H OCEAN
-118.35,34.05,46,2149,451,905,443,2.8841,290800,<1H OCEAN
-116.31,33.66,7,4497,831,2248,713,3.6354,98000,INLAND
-118.42,33.99,35,1701,482,1428,494,3.725,284600,<1H OCEAN
-118,34.08,29,2003,401,1520,364,3.994,195300,INLAND
-121.86,37.23,24,4337,670,1936,652,5.8904,271400,<1H OCEAN
-119.18,34.21,29,4039,680,1677,644,4.3897,257600,NEAR OCEAN
-119.79,36.75,52,377,97,530,96,1,45000,INLAND
-122.03,37.33,23,4221,671,1782,641,7.4863,412300,<1H OCEAN
-117.64,34.07,30,2787,713,2647,693,2.2765,98100,INLAND
-117.92,33.62,37,2038,379,837,381,5.2416,471300,<1H OCEAN
-118.61,34.17,19,5944,1345,2372,1250,3.8819,328900,<1H OCEAN
-117.93,33.93,25,2431,534,1702,523,3.7933,184400,<1H OCEAN
-118.32,33.99,43,2028,479,1074,394,2.5909,98700,<1H OCEAN
-118.16,33.85,36,1979,339,952,339,4.0815,216200,<1H OCEAN
-116.31,33.73,19,12467,2508,4086,1761,3.2846,131900,INLAND
-122.73,39.04,23,1618,395,425,244,1.9833,111500,INLAND
-121.6,36.81,18,1575,230,751,219,5.2203,286500,<1H OCEAN
-122.27,37.88,52,3360,648,1232,621,4.2813,284900,NEAR BAY
-120.68,35.26,26,1704,315,918,310,3.2464,208000,NEAR OCEAN
-121.95,37.26,10,3611,803,1599,716,5.2,248700,<1H OCEAN
-117.74,34.1,26,2723,604,1847,498,2.6779,136000,INLAND
-118.37,34.07,52,2203,437,899,384,4.25,486900,<1H OCEAN
-117.91,33.83,32,1855,527,2568,504,2.5509,170800,<1H OCEAN
-122.26,37.48,34,4453,682,1805,672,5.6038,451300,NEAR OCEAN
-118.35,33.85,35,1248,206,551,185,5.6426,348200,<1H OCEAN
-118.43,34.09,27,1613,200,497,197,7.9835,500001,<1H OCEAN
-118.08,33.84,25,3696,953,2827,860,3.3438,153300,<1H OCEAN
-118.03,33.87,16,2306,393,1368,387,5.93,277600,<1H OCEAN
-117.25,34.06,18,5009,1108,2948,963,3.0042,106500,INLAND
-118.35,33.96,21,2714,881,1549,853,1.2094,157500,<1H OCEAN
-118.36,33.94,33,939,284,1309,250,3.4063,152300,<1H OCEAN
-121.91,37.29,36,945,149,371,158,5.6266,320500,<1H OCEAN
-119.64,36.34,32,2958,670,1504,627,1.8606,56700,INLAND
-122.28,37.84,52,729,160,395,155,1.6875,132000,NEAR BAY
-122.3,37.91,39,2686,569,1159,559,2.9441,200400,NEAR BAY
-118.41,34.21,35,2215,459,1594,446,4.0167,193200,<1H OCEAN
-117.04,32.76,43,3171,665,1534,625,3.141,141400,NEAR OCEAN
